Rank;Global Rank;Institution;Country;Sector;Year
1;737;Universite Cadi Ayyad;MAR;Universities;2011
2;753;Universite Hassan II - Ain Chock;MAR;Universities;2011
2;753;Universite Mohammed V-Agdal;MAR;Universities;2011
3;772;Universite Hassan II Mohammedia;MAR;Universities;2011
