profName,university,nbr citation,specialty
Dr ELMADDAHI Zakaria,PhD - Condensed Matter Physics Laboratory - Hassan II University of Casablanca,Cited by 9
Moussa COULIBALY,"NEST Research Group, LRI Lab., ENSEM, Hassan II University of Casablanca",Cited by 9
el mourabit ilham,université Hassan II Casablanca,Cited by 8
Hassan Rhimini,"… Conception et construction mécanique, ENSEM, Université Hassan II de Casablanca, Maroc",Cited by 8
Mouad Riyad,"PhD Student, Hassan II University",Cited by 8
Asmaa ZARAQ,University Hassan II of casablanca,Cited by 8
Omar Zahour,"Faculté des sciences Ben M'sik,université Hassan II de Casablanca",Cited by 8
Hajar Mouatassim Lahmini,"Professor, Hassan II University",Cited by 8
Abdelkader Sabil,Hassan II University of Casablanca,Cited by 8
Fagroud Fatima Zahra,"LTIM, Faculty of Sciences Ben M'sik, Hassan II University of Casablanca",Cited by 8
Yahya Bachra,"Université Hassan II de Casablanca, Faculté des Sciences Ben M'sik",Cited by 8
Hanane AIT OUSALEH,University Hassan II of Casablanca,Cited by 8
Dr Meriem EL MARSI,Phd graduate- Condensed Matter Physics Laboratory- FS Ben M'sik- Hassan II University of …,Cited by 8
Khadija GOURAI,"Doctorante Chercheuse, Université Hassan II Casablanca, Maroc",Cited by 7
Saadia MAROUANE,"… de management qualité, Ecole Nationale de Commerce et Gestion, Université Hassan II de …",Cited by 7
Hatim FAKHREDDINE,"Ph'D Student, Hassan II University of Casablanca",Cited by 7
SERHSOUH Imane,"Hassan II University of Casablanca, Faculty of Sciences & Techniques",Cited by 7
NOUSSI KARIM,Hassan II University of Casablanca,Cited by 7
Hasna Hamdane,"Laboratory of Engineering and Materials, University Hassan II of Casablanca, Morocco",Cited by 7
Hanane KATIR,"Faculty of Sciences Ben M'sick, University Hassan II of Casablanca",Cited by 7
Younesse Haddaji,Université Hassan II de Casablanca,Cited by 7
Hanaa BENCHRIFA,Université Hassan II,Cited by 7
Taoufik Benkaraache,"Professeur , Université Hassan II de Casablanca",Cited by 7
Lahoucine Boujallal,"Faculty of science, Hassan II University",Cited by 7
Abdelmounaim AGGOUR,Hassan II University - Casablanca,Cited by 6
Ahmed JABRALI,"Laboratory of Mechanics, Faculty of Sciences Aïn Chock, Hassan II University, Casablanca …",Cited by 6
Mohammed Tanasehte,"LBGIM, ENSC, University Hassan II of Casablanca, Morocco",Cited by 6
Mohammed Rammane,"Hassan II University of Casablanca, Casablanca, Morocco",Cited by 6
hicham harrass,"Laboratory of Biophysics, Faculty of Medicine and Pharmacy, Hassan II University of …",Cited by 6
Abderrahim Chalfaouat,Hassan II University of Casablanca,Cited by 5
abdellatif irhzo,université Hassan II de Casablanca,Cited by 5
MOUSSAID Abderrahmane,Hassan 2 University casablanca,Cited by 5
Fatiha Kouilily,"Researcher, Faculty of Sciences Ben M'sik, Hassan II University, Casablanca, Morocco.",Cited by 5
Hayat Bouchoum,Université Hassan II casablanca,Cited by 5
Youssef Ennaji,"… of Sciences and Techniques-Mohammedia, Hassan II University of Casablanca, Morocco.",Cited by 5
Sanaa HAOUATA,"PhD, Hassan II University, Faculty of Law, Economics and Social Sciences",Cited by 5
ZAKARIA NEJJARI,"National school of commerce and management of Casablanca, university of Hassan 2 …",Cited by 5
mohammed bouhadi,Faculté des sciences ben m'sik université hassan II,Cited by 5
Mustapha Akoul,Université Hassan 2 Casablanca,Cited by 5
Zineb El Idrissi Larabi,Université Hassan II,Cited by 4
Nossaiba Baba,"Analysis, Modeling and Simulation Laboratory, University of Hassan II",Cited by 4
Mounir ELATRACHI,Université Hassan II Ain Sebâa,Cited by 4
AMINE HADEK,Hassan II University of Casablanca,Cited by 4
Fatima ezzahra sakhi,Hassan II University of Casablanca,Cited by 4
Azzeddine SAMDI,Professeur de chimie inorganique Université Hassan 2 Casablanca,Cited by 4
Siham El Yamani,"PhD Candidate, Liège University/IAV Hassan II",Cited by 4
abdelkader touhami,"professeur de physique, université Hassan II",Cited by 4
Sanaa Elfilali,"Professeur d'informatique, FSB, Université Hassan2 Casablanca",Cited by 3
ibtissam chiyate,"doctorante, Université hassan 2",Cited by 3
Abdelaziz Salmi,"… of Structures and Materials team, ENSEM, Hassan II University of Casablanca, Morocco",Cited by 3
MOUKRIM Chouaib,"Université Hassan 2, Ben M'sick Casablanca",Cited by 3
Salwa Echalih,Hassan II University of Casablanca Morocco,Cited by 3
Zineb HEKSS,Hassan II University of Casablanca,Cited by 3
Jihane Tadili,Ph.D student at Hassan II University -Casablanca,Cited by 3
A. JIKAL,"FST of Mohammedia, Hassan II University of Casablanca",Cited by 3
Said Bensbih,"LMPGI-ESTC/ENSEM, Hassan II University, Casablanca, Morocco",Cited by 3
NAAMANE Ayoub,"PhD Student, Hassan II-University, Faculty of Sciences Ben M'Sik, Laboratory of Ecology …",Cited by 3
AMARRAY AMINA,"Hassan II University Casablanca, Morocco",Cited by 3
BELGADA Abdessamad,"… of Sciences and Techniques of Mohammedia, Hassan II University of Casablanca, Morocco",Cited by 3
Samir Zine El Alaoui,"LARMIG, Université Hassan II",Cited by 3
Salma BENAZZOUZA,"Phd student,RITM Laboratory, CED Engineering Sciences, Hassan II University, Casablanca …",Cited by 3
EL BILALI ALI,Hassan II university of Casablanca,Cited by 3
Yassine Serhane,"PhD Candidate, Hassan 2 University",Cited by 2
Mehdi Abid,"Faculté des Sciences Ain Chock, Université Hassan II.",Cited by 2
Ahmed Mjidila,"High National School of Electricity and Mechanics, Hassan II University, Casablanca …",Cited by 2
Chadili Bahija,Hassan II University of Casablanca,Cited by 2
El Mehdi KERRAOUS,"PhD in Management, FSJES Ain Chock, University Hassan II, Casablanca, Morocco.",Cited by 2
Moussa YASSAFI,Professeur de communication. Ecole Supérieure de Technologie - Université Hassan II …,Cited by 2
UWIRINGIYEYEZU théophile,Phd student in HASSAN II University of CASABLANCA,Cited by 2
meriem ERRIFAIY,université Hassan II Mohammadia,Cited by 2
Nahli abdelmottalib,"… d'Ecologie et d'Environnement, Faculté des Sciences Ben Msik, université Hassan II de",Cited by 2
Abdelfettah Soultana,… of Modeling and Information Technology Faculty of Sciences Ben M'SIK University Hassan II …,Cited by 2
SOUKAINA MOUHIB,Hassan II University of Casablanca,Cited by 2
Hamza Rouah,Hassan II University Casablanca,Cited by 2
ABDELOUAHAB EL JAOUAHIRY,Faculté des sciences Ain chok université Hassan II Casablanca,Cited by 2
Jarmoumi younes,University of Hassan II - Casablanca,Cited by 2
salama latifa,"laboratory of physics and condensed matter, Hassan II University",Cited by 2
Abderazzak Ammar,Hassan II University of Casablanca,Cited by 2
UWIRINGIYEYEZU théophile,Phd student in HASSAN II University of CASABLANCA,Cited by 2
meriem ERRIFAIY,université Hassan II Mohammadia,Cited by 2
Nahli abdelmottalib,"… d'Ecologie et d'Environnement, Faculté des Sciences Ben Msik, université Hassan II de",Cited by 2
Abdelfettah Soultana,… of Modeling and Information Technology Faculty of Sciences Ben M'SIK University Hassan II …,Cited by 2
SOUKAINA MOUHIB,Hassan II University of Casablanca,Cited by 2
Hamza Rouah,Hassan II University Casablanca,Cited by 2
ABDELOUAHAB EL JAOUAHIRY,Faculté des sciences Ain chok université Hassan II Casablanca,Cited by 2
Jarmoumi younes,University of Hassan II - Casablanca,Cited by 2
salama latifa,"laboratory of physics and condensed matter, Hassan II University",Cited by 2
Abderazzak Ammar,Hassan II University of Casablanca,Cited by 2
Mohamed HOUSNI,"PhD Student, Faculty of Sciences Ben M'Sik, University HASSAN II Casablanca",Cited by 1
Khalid BRGCHOU,"FSJES Mohammedia, Université Hassan 2 Casablanca",Cited by 1
Belahcen Rachid,Hassan 2 university of casablanca,Cited by 1
fatima zahra ASSAD,"Phd student,Université Hassan II Casablanca",Cited by 1
Berjas Abumsimir,University Hassan II of Casablanca,Cited by 1
MKAMEL Mouad,University Hassan II of Casablanca,Cited by 1
Atae Semmar,Hassan II University of Casablanca,Cited by 1
Kaoutar Anouar Tadlaoui,Hassan II University of Casablanca,Cited by 1
Boulahia Chaimae,"Hassan II University, High National School of Electricity and Mechanics (ENSEM), RI …",Cited by 1
mariam taazzouzte,"Doctorante à l'université Hassan II,Casablanca",Cited by 1
Hajar Bnouachir,"… of electricity and mechanic (ENSEM) Hassan II University, Casablanca, 8118, Morocco",Cited by 1
ABDELHADI ZAIM,Hassan II university,Cited by 1
Khadija Hamdani,Hassan II University of Casablanca,Cited by 1
Boubacar TRAORÉ,"Résident en Epidémiologie-Santé Publique, Université Hassan II Casablanca , FMPC",Cited by 1
Aziz Chami,PHD Hassan II University of Casablanca,Cited by 1
Touria Lachhab,Faculté des sciences ben M'sik université Hassan 2 de Casablanca,Cited by 1
Younes DBIBIRHA,"LADES, Université Hassan II de Casablanca",
Amine Khattou,"DES anesthésie réanimation, Université Hassan 2",
Brahim Bouali,"Université Hassan II, Settat",
Khalid Lahyani,Hassan II University of Casablanca,
Tayeb Biad,Hassan II University of Casablanca,
ait lbachir ilhame,"phD student, ENSEM, hassan II university",
Edward BANKOUSSOU-MABIALA,"Doctorant, Université Hassan II Casablanca -Faculté des sciences Ain Chock",
imane ech,"Etudiante doctorante ,Université hassan 2, faculté des sciences ben m'sik casablanca",
Mehdi Azdem,"Doctorant chercheur, Université Hassan II Casablanca",
Aida Rafai,Faculty of Sciences Ben M'sik - University Hassan II of Casablanca,
ELALAOUI Jawad,"Ph.D, Université Hassan II Mohammedia",
Sarah JUIDETTE,"Professeur de Marketing, ENCGC Université Hassan II",
ibtissam chrifi,"Doctorante en Ingénierie de Formation et Didactique des Sciences, Université Hassan II …",
Fatine Mandry,Hassan II University,
