profName,university,nbr citation,specialty
Abderrahim Jdila TRAGHA,"Professeur, University Hassan 2 of Casablanca Morocco",Cited by 375
Abdelmajid ABOULOIFA,"Professor of Electrical Engineering and Automatic Control, Hassan 2 University of …",Cited by 366
youness oufkir,Hassan II University of Casablanca,Cited by 350
Abdelmounime El Magri,Professeur Université Hassan II Casablanca,Cited by 348
wahid achraf,"… Higher School of Electricity and Mechanics, Hassan II University, Casablanca BP 8118 …",Cited by 348
Zakary Omar,"Faculty of Sciences Ben M'Sik, Hassan II University of Casablanca",Cited by 343
Abdelaziz Bouroumi,Hassan II University of Casablanca,Cited by 342
Dr. Abdessamad OUSHABI,Université Hassan II de Casablanca,Cited by 339
Rhihil Abdallah,Hassan II University Of Casablanca,Cited by 339
Abdeltif Elbyed,"professeur d'informatique, Université hassan II",Cited by 317
farid bourzgui,Faculty of Dental Medecine University Hassan 2 Of Casablanca,Cited by 310
Abderrahim Elfadili,"université Hassan II, Faculté des sciences et techniques Mohammedia",Cited by 306
MOUSSAID khalid,Hassan II University of Casablanca,Cited by 291
Faouziya Haissen,Hassan II University of Casablanca,Cited by 289
Mohamed Radid,université Hassan II Casablanca,Cited by 284
Rachida El Ouatib,"Professeur de Chimie, Université Hassan II de Casablanca",Cited by 282
Mohammad Jamal,"Professeur à l'Université Hassan II de Casablanca, Laboratoire d'Ingénierie et Matériaux …",Cited by 278
Mandli Jihane,Hassan II University of Casablanca,Cited by 273
bezza Mohamed,Université Hassan II de Casablanca,Cited by 273
said jai andaloussi,"… of Mathematics & Computer Science Faculty of sciences, Casablanca Hassan II University",Cited by 261
Allae Erraissi,"PhD at Hassan II University, Faculty of sciences Ben M'Sik",Cited by 259
DAKIR,"Professeur de Chimie Organique, Faculté des Sciences Aïn Chock, Université Hassan II de …",Cited by 253
Mohamed Afifi,professor in university Hassan 2 Casablanca Morocco,Cited by 250
Zouhair Taousse,"… of Languages, Literature and Art researcher at Hassan II University of Casablanca, Morocco",Cited by 247
Tarik Nahhal,"professeur d'informatique, Université hassan II",Cited by 237
saile rachid,Université Hassan II,Cited by 229
Sanaa Majid,hassan II university,Cited by 217
Hamid EL HADDI,"Ph.D. in Geosciences, Hassan II–Mohammedia-Casablanca University. Morocco ",Cited by 201
Ahmed EL KHARROUBI,UNIVERSITE HASSAN II faculté des sciences Ain chok CASABLANCA MAROC,Cited by 200
jaafar khalid naciri,universite hassan II faculte des sciences,Cited by 187
Bouchra Aylaj,Professor of Applied Mathematics at University Hassan II - Casablanca,Cited by 186
ibtissam lachkar,"LESE Lab. ENSEM Casablanca Hassan II-Casablanca University, Casablanca-Morocco",Cited by 183
Soumia Mordane,université hassan II,Cited by 179
Mouad Banane,Hassan II University,Cited by 177
jadouane abderrahmane,Hassan II University of Casablanca,Cited by 177
faouzia Benabbou,Hassan  II  University  of  Casablanca,Cited by 176
