profName,university,nbr citation,specialty
Mohammad Iftekhar Monir,"Associate Professor & Chairman, Department of Mathematics, Premier University …",Cited by 14
MOURAD FARISS,Université Mohamed Premier,Cited by 13
Oussama Sbai,Université Mohammed Premier,Cited by 11
Abdelilah EL ATTAR,Professor Mohammed Premier University,Cited by 10
Hicham NASRI,"… des Géosciences Appliquées, Faculté des Sciences, Université Mohammed Premier, Oujda",Cited by 7
MOHAMMED BENALLA,Universite Hassan Premier,Cited by 7
Abdelmajid BOUKHSAS,"Université Mohammed Premier, faculté des sciences, Oujda",Cited by 7
Aziza Benkada,"… de l'enseignement secondaire qualifié, Doctorante à Université Mohammed Premier Oujda",Cited by 6
Muhammad Helal Uddin,"Lecturer, Department of EEE, Premier University",Cited by 4
Afaf KHOUNA,"service de dermatologie, CHU Med VI, faculté de médecine, Université mohammed premier …",Cited by 4
Machhour Naoufal,University of Mohamed Premier,Cited by 3
sanae Zrigui,"PHD student , université mohammed premier",Cited by 2
Abdelbassir Ramdani,Université Mohammed Premier,Cited by 2
iDriss IDRISSI,Université Mohammed Premier Oujda,Cited by 1
Naoual Benaini,"professeure assistante , Université Mohamed 1er , Oujda , Maroc",Cited by 1
Mohammed BOUKABOUS,University Mohamed Premier,Cited by 1
mohammed berehil,université mohammed premier,
Mohammed Eddaou,"… chercheur en Sciences Économiques et de Gestion, Université Mohammed Premier Oujda …",
HAFIANE Mohammed Amine,Université Mohammed Premier,
ABDELMOUNSSIF SEDDOQI,Université Mohammed premier,
Adnane LACHKAR,"… en Médecine, Chirurgie orthopédique et traumatologie, Université Mohamed premier, CHU …",
Radi Zeriouh,"Doctorant, Université mohammed Premier",
BOUBOUCHE Mohammed,"Professeur de droit international, FPN Université Mohammed Premier",
mustapha assalmi,UMP - Université Mohammed Premier Oujda,
EL MAJIDI Brahim,"ENCG, Université Mohamed premier Oujda",
MOUSSAOUI SAID,"Professeur de sociologie, Université Mohammed Premier Oujda",
saliha mharchi,professeur chercheur en biologie université Mohamed premier oujda  faculté de science,
Abderrahim El Moussaouy,"PhD, Université Mohammed Premier Oujda Maroc",
Hamidou KINDO,Doctorant université Mohammed premier Oujda,
