Prof name,university,nbr citation,specialty
Noureddine IDBOUFKER,"Professor, Cadi Ayyad University",Cited by 124,
,,,
Jabrane Amaghouss,"GRES, cadi ayyad university",Cited by 120,
,,,
Othmane EL Meslouhi,"professeur d'informatique, Université  Cadi Ayyad",Cited by 116,
,,,
zakaria boulghasoul,Cadi Ayyad University,Cited by 110,
,,,
Rachida Hannane,"Professor, Faculty of Sciences Semlalia, Marrakech, University Cadi Ayyad, Marrakech",Cited by 105,
,,,
karami fahd,"Professeur de Mathématiques, Université Cadi Ayyad",Cited by 103,
,,,
Choukri,professeur de physique ucam marrakech,Cited by 99,
,,,
Rachid Belfadli,"FST, Cadi Ayyad University",Cited by 95,
,,,
Salama Aissam,"Professor - Faculty of Sciences and Technology, Cadi Ayyad University",Cited by 94,
,,,
Omar Achbarou,Cadi Ayyad University,Cited by 93,
,,,
haytem moussaoui,"Team of Solar Energy and Medicinal Plants, Teacher's Training College, Cadi Ayyad …",Cited by 87,
,,,
Outmane Bourkoukou,Cadi Ayyad University,Cited by 84,
,,,
Zineb Mimouni,professeur de physique Université cadi ayyad,Cited by 83,
,,,
mohamed belaqziz,École supérieure de Technologie d'Essaouira - Université Cadi Ayyad de Marrakech,Cited by 81,
,,,
Belboukhari,"Professeur Assistant à l'école Normale Supérieur de Marrakech, Université Cadi Ayyad",Cited by 80,
,,,
Fatima-ezzahra EL ABBASSI,Université cadi ayyad,Cited by 74,
,,,
Salim el bouanani,Cadi Ayyad University,Cited by 71,
,,,
LABRINI Mohamed,Cadi Ayyad university,Cited by 66,
,,,
B.ELMORCHID,Cadi ayyad University,Cited by 52,
,,,
Mohamed ILSOUK,"PhD, Cadi Ayyad University, Faculty of Sciences and Techniques,",Cited by 52,
,,,
Othmane Alaoui-Fdili,"Ecole Supérieure de Technologie de Safi, Université Cadi Ayyad. Maroc.",Cited by 50,
,,,
Tawfik El Moussaoui,"National Center for Studies and Research on Water and Energy (CNEREE), Cadi Ayyad …",Cited by 48,
,,,
Hind El Aakib,"PhD, Faculty of Science Semlalia, UCA",Cited by 48,
,,,
Abdel-ilah EL KHALFI,LABORATOIRE DE PHYSIQUE DU SOLIDE ET DES COUCHES MINCES - UNIVERSITÉ …,Cited by 45,
,,,
Abdellah ZYANE,"Dr, CADI AYYAD University , MOROCCO",Cited by 44,
,,,
Lahcen TAMEGART,"PhD, Cadi Ayyad University, Faculty of Sciences Semlalia/ Neurosciences,",Cited by 42,
,,,
Zouhair Elamrani Abou Elassad,"PhD candidate in Computer Science, Cadi Ayyad University, Morocco",Cited by 41,
,,,
Mohamed MAATALLAH,UCA,Cited by 40,
,,,
Brahim Es-sebbar,"Assistant Professor of Mathematics, Cadi Ayyad University",Cited by 38,
,,,
Abdlehadi BOUAIN,cadi ayyad university,Cited by 37,
,,,
elmimouni,Université Cadi Ayyad,Cited by 37,
,,,
Ahmed Draoui,"PhD, Neurosciences, Pharmacology and Environnement Laboratory (ENPE) Cadi Ayyad …",Cited by 37,
,,,
Asmaa Maali,"PhD Student, Cadi Ayyad University",Cited by 36,
,,,
Abdelaati EL KHIAT,"PhD, Cadi Ayyad University, Faculty of Sciences Semlalia/ Neurosciences,",Cited by 35,
,,,
elyaagoubi mesbah,Université cadi ayyad,Cited by 33,
,,,
AMRANI Mustapha,Cadi Ayyad University,Cited by 33,
,,,
Seif-eddine CHERIF,"Professeur de Génie civil, Université Cadi Ayyad",Cited by 32,
,,,
Abdelhak Ait lahna,"Phd student, UCAM",Cited by 31,
,,,
Abderrahim El-abidi,"Professeur de physique, université Cadi Ayyad Marrakech",Cited by 28,
,,,
adil arrob,"hôpital militaire Avicenne, faculté de médecine et de pharmacie, université cadi ayyad …",Cited by 25,
,,,
Radouane EL FARI,"PhD candidate, Faculty Of Sciences Semlalia, Cadi Ayyad University marrakech",Cited by 25,
,,,
Farid El Wahidi,"Professeur de SIG et Télédétection, Université Cadi Ayyad",Cited by 25,
,,,
Kamal KHALIL,"Cadi Ayyad University, Faculty of Sciences Semlalia, Department of Mathematics, BP. 2390 …",Cited by 24,
,,,
ABDELKRIM HAMZAOUI,Cadi Ayyad University,Cited by 22,
,,,
Ghizlane KADIM,doctorante de physique des matériaux. université cadi ayyad marrakech,Cited by 22,
,,,
Bouchra EL HAYANY,Cadi Ayyad University (Morocco),Cited by 22,
,,,
Salwa Bajja,Cadi Ayyad University,Cited by 21,
,,,
BOSKRI Abdelkarim,"Cadi Ayyad University,Université de la côte d'azur",Cited by 20,
,,,
El Mahdi EL KHALKI,"PhD - Postdoc , Université Cadi Ayyad",Cited by 20,
,,,
Hajar Lazar,"Professeur d'Informatique, Université Cadi Ayyad",Cited by 20,
,,,
Tarbalouti Essaid,"Professor of Economics. Université Cadi Ayyad, FSJES - Marrakech",Cited by 19,
,,,
Idllalene Samira,Université Cadi Ayyad,Cited by 19,
,,,
siham sakami,"Université CADI AYYAD, FSTG",Cited by 18,
,,,
Nour Eddine BERRAHOU,UCAM-MARRAKESH,Cited by 17,
,,,
FZ AMATOUL,UCAM,Cited by 17,
,,,
Badr Habba,Université CADI-AYYAD / ESCA Ecole de Management,Cited by 17,
,,,
saida bahsine,"Université Cadi Ayyad, Faculté Poly-Disciplinaire Safi",Cited by 17,
,,,
Zahra Abkhar,professeur de chimie ucam marrakech,Cited by 17,
,,,
Marouane Belarbi,"Professor assistant, Faculté de médecine et de pharmacie, Université Cadi Ayyad …",Cited by 17,
,,,
mohamed fadili,"professeur de maths, Université Cadi Ayyad",Cited by 14,
,,,
Youssef HARRATI,Université Cadi Ayyad Marrakech,Cited by 13,
,,,
Imane Bouali,Institut Jean Lamour-Université de Lorraine / Université Cadi Ayyad,Cited by 13,
,,,
Sara Laafar,Cadi Ayyad University,Cited by 12,
,,,
Abyad Mohamed,Cadi Ayyad University,Cited by 11,
,,,
Mohamed Boukherouk,"laboratoire SAEDD, École Supérieure de Technologie Essaouira, Université Cadi Ayyad …",Cited by 9,
,,,
BEN BRAIM,"Phd-student on automatic, Cadi Ayyad University",Cited by 9,
,,,
NAWFAL BAHHA,Université Cadi Ayyad,Cited by 8,
,,,
Yassine AZOUGAGH,"Laboratoire LAPSSII, Ecole Supérieure de Technologie de Safi, UNIVERSITE CADI AYYAD",Cited by 8,
,,,
Abderahmane Soubkiou,"Cadi Ayyad University, Oukaimeden Observatory, High Energy Physics and Astrophysics …",Cited by 8,
,,,
Fatim Zahra Ait Bella,Cadi Ayyad University,Cited by 6,
,,,
Aiman El Machi,"PhD student, Cadi Ayyad University",Cited by 5,
,,,
Cherkaoui Elmodafar,"professeur de biotechnologie, université Cadi Ayyad Marrakech",Cited by 3,
,,,
"Rachid Boutannoura, Ph.D.","Professor of Management, Cadi Ayyad University",Cited by 3,
,,,
SAIDI CHARAF,Université Cadi Ayyad,Cited by 3,
,,,
KA Azzaoui,"professeur de géologie,Université Cadi Ayyad, Marrakech",Cited by 3,
,,,
ALAHYANE Hassan,Cadi Ayyad University,Cited by 2,
,,,
MOHAMED CHAHINE RHCHIM,Cadi ayyad university,Cited by 2,
,,,
Abdelhakim MOUTAOUAKIL,"Professeur de physique, Université Cadi Ayyad",Cited by 2,
,,,
El Houcine chougrani,"Professor of International Law & International Relations, Cadi Ayyad University",Cited by 2,
,,,
TARIQ LABBILTA,Ph.D at Cadi Ayyad University,Cited by 2,
,,,
Lahcen AIT DAOUD,"Université Cadi Ayyad, FSJES, INREDD, Marrakech",Cited by 1,
,,,
Salem AHMEDOU BAMBA,Université  Cadi Ayyad,Cited by 1,
,,,
Salah-Eddine CHORFI,"Cadi Ayyad University, Faculty of Sciences Semlalia, Marrakech",Cited by 1,
,,,
Omar OUKDACH,Cadi Ayyad University,Cited by 1,
,,,
Bala Namata Abba,"PhD Student, Cadi Ayyad University/Abdou Moumouni University",Cited by 1,
,,,
Faouzia ENNAAMA,"Faculté des Sciences et Techniques de Marrakech, Université Cadi Ayyad",Cited by 1,
,,,
rachid bechchar,Université CADI AYYAD,Cited by 1,
,,,
Imane AARAB,"Ph.D. candidate, Cadi Ayyad university",Cited by 1,
,,,
el mazoudi el houssine,"Professeur d'informatique, Université Cadi Ayyad",,
,,,
Farouk Nassiri,"Université Cadi Ayyad, Marrakech",,
,,,
Redouane Moubarik,"Doctorant en Marketing, Université Cadi Ayyad",,
,,,
Amal El arbaoui,"PhD Student, Université cadi ayyad",,
,,,
eladri mohamed,"Phd, Cadi Ayyad University",,
,,,
Hanane Essaydi,Université Cadi Ayyad,,
,,,
Soufiane Chraibi,"Professeur de sciences de gestion, Université Cadi Ayyad",,
,,,
noureddine Achargui,Professeur de Physique FSTG Université Cadi Ayyad,,
,,,
Marouane BENHASSI,"Université Cadi Ayyad, Faculté des Sciences Semlalia Marrakech, Maroc",,
,,,
Naoufel Belhaj,"Doctorant en économie, Université Cadi-Ayyad Marrakech",,
,,,
Hamza NIDAAZZI,Doctorant en Sciences de gestion - UCAM,,
,,,
Mohammed Amine Margoum,PhD Student à Université Cadi Ayyad,,
,,,
Ahmed Loudini,"Cadi ayyad university, Marrakech, Morocco",,
,,,
Mostapha EL IDRISSI,"Cadi Ayyad University, Marrakech, Morocco",,
,,,
toufik datsi,"Etudiant chercheur, faculté des science semlalia, université cadi ayyad",,
,,,
Ahl Maatallah Taha,"Doctorant en GRH, Université CADI AYYAD",,
,,,
Noureddine Samlak,"Université Cadi Ayyad, Marrakech, Maroc",,
,,,
Revue Linguistique et Référentiels Interculturels (LiRI),"Laboratoire Linguistique et Référentiels Culturels, FLAM, Université Cadi Ayyad, Marrakech",,
,,,
Asma Ait Bounssiyal,Doctorante en sciences de gestion à l'université Cadi Ayyad,,
,,,
Mohammed Ameksa,PHD student at Cadi Ayyad University,,
,,,
lamyae et-taaj,Cadi Ayyad University,,
,,,
Ridouane Messaoudi,"Doctorant en Science de Gestion, Université Cadi Ayyad Marrakech",,
,,,
L'houssaine Mounaim,"Professeur, Université Cadi Ayyad",,
,,,
ABDELLAH TAJER,"doctorant en sciences de gestion, université cadi ayyad",,
,,,
OUMAIMA QUIDDI,Cadi Ayyad University,,
,,,
Abderrahim HANSALI,"National School of Business and Management, Cadi Ayyad University Marrakech",,
,,,
Asmae El Hajji,Université Cadi Ayyad - Marrakech,,
,,,
Rajaa Naçaf,Doctorante en science économique a Universite CADI AYYAD,,
,,,
Rachid Hidki,"LMFE, Department of Physics, Cadi Ayyad University, Faculty of Sciences Semlalia, BP …",,
