Rank;Global Rank;Institution;Country;Sector;Year
1;627;Universite Mohammed-V;MAR;Universities;2017
2;631;Universite Cadi Ayyad;MAR;Universities;2017
3;646;Universite Mohammed Premier;MAR;Universities;2017
4;661;Universite Chouaib Doukkali;MAR;Universities;2017
5;664;Universite Hassan II;MAR;Universities;2017
6;665;Universite Ibn Zohr;MAR;Universities;2017
7;666;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2017
8;668;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2017
8;668;Universite Ibn Tofail;MAR;Universities;2017
9;671;Universite Moulay Ismail;MAR;Universities;2017
