Rank;Global Rank;Institution;Country;Sector;Year
1;699;Universite Mohammed Premier;MAR;Universities;2012
2;703;Universite Cadi Ayyad;MAR;Universities;2012
3;708;Universite Mohammed V-Agdal;MAR;Universities;2012
4;728;Universite Hassan II - Ain Chock;MAR;Universities;2012
5;734;Universite Hassan II Mohammedia;MAR;Universities;2012
6;745;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2012
