Rank;Global Rank;Institution;Country;Sector;Year
1;664;Universite Cadi Ayyad;MAR;Universities;2013
2;665;Universite Mohammed V-Agdal;MAR;Universities;2013
3;685;Universite Mohammed Premier;MAR;Universities;2013
4;693;Universite Ibn Tofail;MAR;Universities;2013
5;698;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2013
6;701;Universite Hassan II - Ain Chock;MAR;Universities;2013
7;703;Universite Hassan II Mohammedia;MAR;Universities;2013
8;706;Universite Mohammed V-Souissi;MAR;Universities;2013
