Rank;Global Rank;Institution;Country;Sector;Year
1;616;Universite Mohammed V-Agdal;MAR;Universities;2015
2;630;Universite Cadi Ayyad;MAR;Universities;2015
3;645;Universite Mohammed Premier;MAR;Universities;2015
4;655;Universite Chouaib Doukkali;MAR;Universities;2015
5;657;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2015
6;658;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2015
7;665;Universite Ibn Zohr;MAR;Universities;2015
8;668;Universite Moulay Ismail;MAR;Universities;2015
9;669;Universite Ibn Tofail;MAR;Universities;2015
10;672;Universite Hassan II - Ain Chock;MAR;Universities;2015
10;672;Universite Mohammed V-Souissi;MAR;Universities;2015
11;674;Universite Hassan II Mohammedia;MAR;Universities;2015
