Rank;Global Rank;Institution;Country;Sector;Best Country Quartile;Year
1;715;Universite Mohammed Premier;MAR;Universities;1;2021
2;727;Universite Mohammed-V;MAR;Universities;1;2021
3;741;Universite Cadi Ayyad;MAR;Universities;1;2021
4;755;Universite Hassan II de Casablanca;MAR;Universities;1;2021
5;779;Universite Internationale de Rabat;MAR;Universities;1;2021
6;788;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2;2021
7;810;Universite Sultan Moulay Slimane;MAR;Universities;1;2021
7;810;Universite Moulay Ismail;MAR;Universities;2;2021
8;811;Universite Ibn Tofail;MAR;Universities;2;2021
9;813;Universite Abdelmalek Essaadi;MAR;Universities;3;2021
10;817;Universite Chouaib Doukkali;MAR;Universities;3;2021
11;833;Universite Ibn Zohr;MAR;Universities;2;2021
12;836;Universite Hassan 1er;MAR;Universities;4;2021
